"filename", "language", "C++", "C", "XML", "Log", "comment", "blank", "total"
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Bits.h", "C++", 3, 0, 0, 0, 2, 2, 7
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Bool.h", "C++", 4, 0, 0, 0, 3, 4, 11
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Debug\RaynEngine.log", "Log", 0, 0, 0, 21, 0, 1, 22
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\File.h", "C++", 20, 0, 0, 0, 0, 8, 28
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Elements.h", "C++", 21, 0, 0, 0, 21, 9, 51
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Event.h", "C++", 40, 0, 0, 0, 2, 2, 44
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Init.h", "C++", 20, 0, 0, 0, 2, 8, 30
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Loop.h", "C++", 12, 0, 0, 0, 1, 2, 15
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Physics.h", "C++", 25, 0, 0, 0, 4, 7, 36
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Game.Renderer.h", "C++", 21, 0, 0, 0, 1, 9, 31
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Globals.h", "C++", 10, 0, 0, 0, 3, 3, 16
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Graphics.Text.h", "C++", 17, 0, 0, 0, 3, 5, 25
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Graphics.h", "C++", 45, 0, 0, 0, 5, 15, 65
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Main.c", "C", 0, 8, 0, 0, 0, 1, 9
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Main.h", "C++", 10, 0, 0, 0, 0, 1, 11
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Math.h", "C++", 17, 0, 0, 0, 4, 4, 25
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\PixelarityFont.h", "C++", 52, 0, 0, 0, 1, 3, 56
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\REFF.h", "C++", 31, 0, 0, 0, 1, 9, 41
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Raycasting.h", "C++", 27, 0, 0, 0, 4, 13, 44
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\RaynEngine.vcxproj", "XML", 0, 0, 231, 0, 0, 0, 231
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\String.h", "C++", 19, 0, 0, 0, 0, 7, 26
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Time.h", "C++", 15, 0, 0, 0, 4, 6, 25
"c:\Users\gym12\source\repos\RaynEngine\RaynEngine\Typedef.h", "C++", 11, 0, 0, 0, 2, 6, 19
"Total", "-", 420, 8, 231, 21, 63, 125, 868
